Open Time,Open,High,Low,Close Price,Volume
2020-09-23,3.93,4.6092,3.3778,3.5136,14289266.0
2020-09-24,3.5123,4.86,3.4171,4.6133,12968822.0
2020-09-25,4.6129,5.0295,4.189,4.6867,11945245.0
2020-09-26,4.6892,4.8025,4.3459,4.5203,6912586.0
2020-09-27,4.5244,4.7,4.0976,4.6391,5967454.0
2020-09-28,4.6383,4.687,4.15,4.1955,5522693.0
2020-09-29,4.195,4.2786,3.95,4.1314,5153781.0
2020-09-30,4.1334,4.3976,3.99,4.321,5638476.0
2020-10-01,4.3246,4.5269,4.0,4.1477,6333875.0
2020-10-02,4.1471,4.2137,3.6414,3.8972,8854778.0
2020-10-03,3.8952,4.1864,3.8554,4.0169,5275795.0
2020-10-04,4.0102,4.0691,3.8143,3.9608,5280970.0
2020-10-05,3.956,4.0456,3.8675,3.976,4681565.0
2020-10-06,3.978,3.9928,3.48,3.5338,6161670.0
2020-10-07,3.536,3.5397,3.1893,3.4413,6660381.0
2020-10-08,3.4445,3.9534,3.3088,3.9034,7083340.0
2020-10-09,3.9024,4.3209,3.7964,4.2356,5565602.0
2020-10-10,4.2327,4.2689,3.9765,4.0142,4994696.0
2020-10-11,4.0143,4.1896,3.9279,4.0924,4784523.0
2020-10-12,4.0917,4.6939,4.0503,4.4123,6133208.0
2020-10-13,4.4137,4.5481,4.3252,4.4774,4270352.0
2020-10-14,4.4785,4.4879,4.0105,4.1513,4583035.0
2020-10-15,4.1517,4.2283,3.9922,4.1266,3671854.0
2020-10-16,4.1262,4.1368,3.8578,4.0281,4534013.0
2020-10-17,4.0324,4.2024,3.9559,4.189,3906457.0
2020-10-18,4.1927,4.2464,4.072,4.1186,3384876.0
2020-10-19,4.1197,4.1689,3.982,4.0401,3674582.0
2020-10-20,4.0397,4.0787,3.6789,3.7938,4524236.0
2020-10-21,3.7909,4.0958,3.7724,3.9601,4517279.0
2020-10-22,3.9612,4.4853,3.9608,4.3346,4726770.0
2020-10-23,4.3336,4.4724,4.1338,4.2541,4002237.0
2020-10-24,4.2538,4.36,4.1586,4.1815,3340426.0
2020-10-25,4.1802,4.2548,4.1021,4.1429,3524740.0
2020-10-26,4.1422,4.4907,4.026,4.142,5336452.0
2020-10-27,4.1419,4.3497,4.0302,4.1245,4321120.0
2020-10-28,4.1229,4.182,3.9213,4.0505,4225272.0
2020-10-29,4.0504,4.1074,3.7272,3.7776,4530018.0
2020-10-30,3.7767,3.826,3.5757,3.716,5180838.0
2020-10-31,3.7215,3.7619,3.5811,3.6403,4148313.0
2020-11-01,3.64,3.7118,3.5433,3.6866,3720879.0
2020-11-02,3.6891,3.8747,3.6026,3.6079,4418875.0
2020-11-03,3.607,3.649,3.2485,3.3318,4703649.0
2020-11-04,3.3335,3.3802,2.996,3.1748,5138307.0
2020-11-05,3.1757,3.3925,3.0121,3.337,5743350.0
2020-11-06,3.3389,3.6757,3.3213,3.5966,6965505.0
2020-11-07,3.5998,3.92,3.3534,3.4209,7202237.0
2020-11-08,3.4226,3.676,3.3615,3.475,5555038.0
2020-11-09,3.4731,3.5424,3.2632,3.4189,6014179.0
2020-11-10,3.421,3.6396,3.3735,3.5736,5284862.0
2020-11-11,3.5754,3.8193,3.4575,3.4865,5184683.0
2020-11-12,3.4865,3.5746,3.3142,3.4219,5292738.0
2020-11-13,3.4255,3.7041,3.3894,3.6781,5685942.0
2020-11-14,3.6836,3.7026,3.3926,3.4863,5525176.0
2020-11-15,3.4887,3.6441,3.4035,3.5424,5191152.0
2020-11-16,3.5411,3.8212,3.4547,3.7074,6156423.0
2020-11-17,3.7029,3.935,3.6916,3.8463,5836863.0
2020-11-18,3.8482,3.8736,3.5046,3.7491,6347052.0
2020-11-19,3.7518,3.8324,3.5531,3.6398,5720573.0
2020-11-20,3.6431,4.0179,3.6224,3.7217,6292681.0
2020-11-21,3.7184,4.1135,3.6717,4.0412,6692111.0
2020-11-22,4.0444,4.0776,3.7102,3.9028,6649688.0
2020-11-23,3.9061,4.2633,3.8561,4.0805,6337519.0
2020-11-24,4.0833,4.348,3.8576,4.2712,7061758.0
2020-11-25,4.2666,4.4149,3.9042,4.0444,6388167.0
2020-11-26,4.0422,4.0898,3.2859,3.5386,8697199.0
2020-11-27,3.541,3.7621,3.4235,3.5851,5908307.0
2020-11-28,3.5855,3.702,3.4684,3.6317,4500372.0
2020-11-29,3.63,3.7665,3.5342,3.7037,4227643.0
2020-11-30,3.7047,3.8265,3.6418,3.7075,4404799.0
2020-12-01,3.7082,3.8241,3.4515,3.5574,6035180.0
2020-12-02,3.553,3.8533,3.5005,3.7354,5137882.0
2020-12-03,3.7344,3.901,3.7116,3.8171,4415791.0
2020-12-04,3.8144,3.866,3.5071,3.5359,4468269.0
2020-12-05,3.5331,3.718,3.4992,3.6408,4063238.0
2020-12-06,3.6408,3.6772,3.4997,3.5984,3884122.0
2020-12-07,3.5998,3.6074,3.3198,3.3765,4488009.0
2020-12-08,3.375,3.378,3.0701,3.1113,7236928.0
2020-12-09,3.1096,3.4039,2.7881,3.2588,8734253.0
2020-12-10,3.2566,3.3538,3.066,3.1474,8009625.0
2020-12-11,3.148,3.3078,3.0102,3.2383,6610199.0
2020-12-12,3.2392,3.45,3.238,3.3375,5943831.0
2020-12-13,3.3356,3.4201,3.2849,3.3445,5203782.0
2020-12-14,3.3432,3.3455,3.1396,3.1491,5336037.0
2020-12-15,3.1515,3.3749,3.0648,3.3012,4904741.0
2020-12-16,3.3012,3.3758,3.1501,3.3461,4992952.0
2020-12-17,3.3482,3.3797,3.1866,3.2177,6060521.0
2020-12-18,3.2168,3.48,3.1463,3.4123,5122515.0
2020-12-19,3.4147,3.6127,3.3846,3.466,4329142.0
2020-12-20,3.4663,3.4991,3.2801,3.3144,4048350.0
2020-12-21,3.3114,3.3608,3.0266,3.0923,5480209.0
2020-12-22,3.0909,3.136,2.923,3.0735,4744017.0
2020-12-23,3.0726,3.6024,2.7583,2.9529,10020865.0
2020-12-24,2.9535,3.1186,2.7843,3.1062,6766338.0
2020-12-25,3.1064,3.135,2.8469,2.9534,5466761.0
2020-12-26,2.9522,3.0024,2.8475,2.9265,4255409.0
2020-12-27,2.9236,3.0809,2.842,2.91,5303471.0
2020-12-28,2.9115,3.05,2.8721,2.9646,5509291.0
2020-12-29,2.964,3.0212,2.8356,2.9253,5695232.0
2020-12-30,2.9261,2.9519,2.8356,2.9166,4484867.0
2020-12-31,2.9172,3.2901,2.78,3.1926,5319432.0
2021-01-01,3.1894,3.8455,3.0479,3.6541,15285985.0
2021-01-02,3.6565,3.945,3.2954,3.505,9313951.0
2021-01-03,3.5046,3.8508,3.4002,3.4907,8124433.0
2021-01-04,3.4927,3.8861,3.2,3.6036,9918202.0
2021-01-05,3.6034,4.3703,3.4648,4.2626,12610791.0
2021-01-06,4.2632,4.9949,4.1491,4.5808,9356697.0
2021-01-07,4.5808,4.8294,4.1735,4.4722,6930303.0
2021-01-08,4.4765,5.8591,4.03,5.7084,12980609.0
2021-01-09,5.6965,7.4707,5.5763,7.1895,13126244.0
2021-01-10,7.1915,7.509,6.151,6.5449,7858043.0
2021-01-11,6.5428,6.9974,5.6944,6.4571,9132710.0
2021-01-12,6.4587,8.2125,6.3814,7.7118,10952556.0
2021-01-13,7.7083,8.4953,7.1157,8.4617,7971177.0
2021-01-14,8.4608,9.6014,8.202,9.3204,8801902.0
2021-01-15,9.3284,9.9147,8.5623,9.3586,7746718.0
2021-01-16,9.3597,13.6592,9.1269,12.7952,11311763.0
2021-01-17,12.7817,14.71,12.3,13.1289,11329178.0
2021-01-18,13.1177,13.8446,12.5001,12.6751,5699519.0
2021-01-19,12.6709,13.3783,11.5493,11.7022,5833508.0
2021-01-20,11.7,13.0461,11.0001,12.3692,5805590.0
2021-01-21,12.3723,12.9712,11.03,11.2759,5857361.0
2021-01-22,11.2633,13.3849,10.6259,12.7114,7382684.0
2021-01-23,12.7217,13.4883,12.499,12.8923,6075166.0
2021-01-24,12.8864,13.1916,12.1253,12.4682,4876524.0
2021-01-25,12.4683,12.9238,12.023,12.1388,4088131.0
2021-01-26,12.132,12.6994,11.3217,12.1862,4796646.0
2021-01-27,12.1784,12.1888,10.7487,11.1092,4713927.0
2021-01-28,11.0982,12.7494,10.7474,11.9178,5206881.0
2021-01-29,11.915,12.6302,11.2054,11.5976,5527690.0
2021-01-30,11.5878,12.6498,11.2229,12.0375,4852804.0
2021-01-31,12.0268,15.3716,11.8195,13.4644,8791829.0
2021-02-01,13.477,13.5681,12.5,13.2448,5309099.0
2021-02-02,13.2359,13.7104,12.75,13.4628,4411499.0
2021-02-03,13.4573,14.9704,13.19,14.8534,5119081.0
2021-02-04,14.8589,15.9105,13.8453,15.29,5788645.0
2021-02-05,15.29,18.0348,15.1286,17.8632,5349453.0
2021-02-06,17.8663,18.6521,15.6618,18.119,5430834.0
2021-02-07,18.1152,24.4766,17.9201,23.7402,9294335.0
2021-02-08,23.7402,33.8769,23.5208,30.1671,9744405.0
2021-02-09,30.1757,33.2586,27.51,31.9082,6257202.0
2021-02-10,31.9082,60.6595,31.4158,54.9172,13086334.0
2021-02-11,54.8184,56.8888,42.5849,47.5001,8229067.0
2021-02-12,47.5001,54.7,43.6699,48.4247,6795565.0
2021-02-13,48.4208,52.26,43.4426,44.2039,5572822.0
2021-02-14,44.2771,45.9415,38.0,39.2,6974700.0
2021-02-15,39.1981,44.2897,32.0,38.1642,7917358.0
2021-02-16,38.1642,39.5483,35.0,36.6762,6309298.0
2021-02-17,36.678,41.8866,34.1,37.1984,6702587.0
2021-02-18,37.1821,44.0619,36.2223,41.1329,6820750.0
2021-02-19,41.1293,41.4999,37.5182,38.8859,5555606.0
2021-02-20,38.9146,43.1,31.4357,36.0081,7078919.0
2021-02-21,35.9943,38.1507,34.8851,36.2344,5202783.0
2021-02-22,36.2392,36.34,24.3366,32.2924,6749782.0
2021-02-23,32.1916,32.4821,22.4171,27.5483,6954447.0
2021-02-24,27.5565,31.98,25.1929,29.6555,6643391.0
2021-02-25,29.6534,32.1873,26.3417,26.7276,5966767.0
2021-02-26,26.685,27.993,24.8608,25.9372,5341277.0
2021-02-27,25.9721,27.3941,24.8742,25.677,4979058.0
2021-02-28,25.6585,25.8503,22.1,23.925,5169128.0
2021-03-01,23.9361,27.8482,23.5273,27.4816,5502307.0
2021-03-02,27.4891,31.856,25.866,27.1118,7963814.0
2021-03-03,27.1369,29.5608,26.5439,27.2227,6222627.0
2021-03-04,27.2197,28.8871,24.238,25.7677,6013102.0
2021-03-05,25.764,25.7909,23.5,24.2636,5054788.0
2021-03-06,24.2808,25.535,23.8451,24.9377,4506263.0
2021-03-07,24.9483,28.045,24.9483,26.7401,6162470.0
2021-03-08,26.7374,27.1676,25.168,25.63,5979402.0
2021-03-09,25.6374,34.85,23.8401,34.3501,13987997.0
2021-03-10,34.35,35.8785,28.5695,29.6156,12317101.0
2021-03-11,29.6292,32.9715,28.4502,30.8663,9168762.0
2021-03-12,30.8642,31.6879,26.73,28.0242,8288599.0
2021-03-13,28.0307,33.2922,26.85,30.9576,8339709.0
2021-03-14,30.9704,32.4159,28.8123,28.8123,7069839.0
2021-03-15,28.8147,30.6783,26.92,28.9611,7740086.0
2021-03-16,28.9484,33.3001,27.5613,33.0058,8587393.0
2021-03-17,33.0308,34.1075,30.684,32.7399,8022195.0
2021-03-18,32.7263,35.7727,31.8932,33.2432,8555360.0
2021-03-19,33.2499,38.5075,31.2757,37.3661,10215337.0
2021-03-20,37.3501,39.4065,34.2,34.231,6856902.0
2021-03-21,34.2453,35.4897,32.0208,32.8665,7128394.0
2021-03-22,32.8668,33.6978,28.2,29.193,7263467.0
2021-03-23,29.1945,30.9656,28.1,28.4859,6897491.0
2021-03-24,28.4885,30.5649,24.45,25.8228,8070606.0
2021-03-25,25.8078,27.5561,24.3,25.8246,7493878.0
2021-03-26,25.8219,28.9184,25.8074,28.2868,6606000.0
2021-03-27,28.2826,28.68,26.8549,27.6364,6096887.0
2021-03-28,27.6376,29.6279,27.25,28.7914,6298693.0
2021-03-29,28.7961,30.4297,28.2746,29.6,6175481.0
2021-03-30,29.6053,30.9199,29.045,29.6998,5593888.0
2021-03-31,29.6949,30.0669,25.7487,28.8004,6193299.0
2021-04-01,28.8117,29.4582,27.8124,28.3045,4440778.0
2021-04-02,28.3112,29.6847,28.0,29.1181,4511658.0
2021-04-03,29.1313,32.9799,27.8,28.177,9319921.0
2021-04-04,28.177,29.9709,27.4438,29.2138,4863746.0
2021-04-05,29.2263,33.1386,28.573,31.355,9313719.0
2021-04-06,31.355,34.6674,29.8842,31.5321,9359730.0
2021-04-07,31.54,32.8016,28.6,29.5754,7697716.0
2021-04-08,29.5689,31.7489,29.2607,30.7944,5055482.0
2021-04-09,30.7943,32.4921,30.3659,31.5737,5880722.0
2021-04-10,31.57,34.0,30.88,31.8805,8328309.0
2021-04-11,31.8967,32.4474,31.0168,31.6214,5405946.0
2021-04-12,31.6352,35.7,31.338,33.9088,9256496.0
2021-04-13,33.9117,35.0,31.8645,33.7292,8698978.0
2021-04-14,33.7431,39.4511,33.1,38.489,14743193.0
2021-04-15,38.4891,40.9226,36.3,37.0683,9656758.0
2021-04-16,37.0818,37.5902,33.0,35.5202,8541963.0
2021-04-17,35.5359,37.1,33.5639,33.9586,6584734.0
2021-04-18,33.9725,34.3897,19.6974,29.3351,13948447.0
2021-04-19,29.3381,30.6744,25.5276,26.1768,9588844.0
2021-04-20,26.1784,28.35,23.7501,27.4302,8597987.0
2021-04-21,27.4385,28.5385,25.7711,25.8407,7039609.0
2021-04-22,25.8408,27.8164,22.8922,23.97,7594666.0
2021-04-23,23.9752,24.7163,19.3141,23.5679,10043281.0
2021-04-24,23.5701,23.9365,21.4168,21.8333,6072872.0
2021-04-25,21.8346,23.7375,20.4168,21.6154,5432867.0
2021-04-26,21.6128,26.4936,21.3753,26.408,6860482.0
2021-04-27,26.4081,28.0106,25.7069,28.0003,5968716.0
2021-04-28,27.9921,29.1573,25.8558,28.2819,6238186.0
2021-04-29,28.2835,29.8,26.6236,27.9664,5792452.0
2021-04-30,27.9667,33.0517,27.51,32.8467,7196347.0
2021-05-01,32.845,35.7724,31.7484,31.853,7537884.0
2021-05-02,31.8531,32.7692,30.4231,31.2878,6214076.0
2021-05-03,31.2941,37.4899,31.153,35.9222,9942552.0
2021-05-04,35.9229,36.2525,29.8253,30.3941,9200486.0
2021-05-05,30.3626,35.722,29.8,35.3226,7653032.0
2021-05-06,35.3327,39.4696,34.51,38.103,11471931.0
2021-05-07,38.1073,44.0967,36.0017,37.8974,11672440.0
2021-05-08,37.887,39.8998,37.1307,38.4214,6948474.0
2021-05-09,38.429,39.4488,35.1365,39.025,6555891.0
2021-05-10,39.0246,41.9082,29.3968,34.6661,9552672.0
2021-05-11,34.6758,37.2753,32.6049,36.78,6453535.0
2021-05-12,36.781,41.56,31.494,32.992,9411317.0
2021-05-13,33.013,37.256,30.244,35.008,9262819.0
2021-05-14,34.996,38.058,33.264,37.017,5969040.0
2021-05-15,37.022,39.99,34.101,34.528,8462888.0
2021-05-16,34.53,39.711,32.5,36.652,8539681.0
2021-05-17,36.647,38.077,31.8,33.679,9263957.0
2021-05-18,33.655,37.731,33.262,36.966,7969948.0
2021-05-19,36.982,38.566,17.0,22.958,12921349.0
2021-05-20,22.99,28.132,20.697,25.022,10128658.0
2021-05-21,25.019,26.725,18.293,21.775,8176275.0
2021-05-22,21.775,22.129,18.211,18.746,7024210.0
2021-05-23,18.749,19.671,12.099,15.583,11889754.0
2021-05-24,15.585,20.574,15.031,19.422,9384011.0
2021-05-25,19.428,20.27,17.037,19.453,7023072.0
