Open Time,Open,High,Low,Close Price,Volume
2023-05-03,1.403,1.4125,1.2652,1.3932,234691104.1
2023-05-04,1.3934,1.4931,1.2943,1.3295,515431274.4
2023-05-05,1.3295,1.38,1.2586,1.3059,545434474.8
2023-05-06,1.3059,1.3769,1.268,1.3291,412966864.4
2023-05-07,1.3293,1.3472,1.2135,1.2419,218188546.6
2023-05-08,1.2418,1.2435,1.0113,1.1359,549924543.5
2023-05-09,1.1356,1.2135,1.0939,1.1826,459686462.6
2023-05-10,1.1827,1.2463,1.0928,1.1783,691586908.9
2023-05-11,1.1782,1.1813,1.033,1.0727,337999256.8
2023-05-12,1.073,1.1226,1.012,1.1144,348579839.0
2023-05-13,1.1143,1.1394,1.0851,1.0989,195795833.7
2023-05-14,1.0989,1.2042,1.0668,1.1581,326210405.4
2023-05-15,1.1581,1.2549,1.1233,1.1919,520510747.3
2023-05-16,1.1919,1.206,1.139,1.1645,300965384.7
2023-05-17,1.1645,1.2146,1.1128,1.2121,378078642.9
2023-05-18,1.2121,1.2239,1.126,1.1409,238299042.2
2023-05-19,1.1409,1.1491,1.1148,1.1303,162155560.8
2023-05-20,1.1301,1.1339,1.1083,1.1238,96291914.7
2023-05-21,1.1239,1.1534,1.0507,1.0724,191047034.6
2023-05-22,1.0724,1.0775,1.033,1.0497,172273144.5
2023-05-23,1.0496,1.0976,1.0223,1.0525,186047423.5
2023-05-24,1.0524,1.0524,0.9258,0.9775,328632327.2
2023-05-25,0.9775,1.0102,0.9376,0.9816,192203964.9
2023-05-26,0.9816,1.0094,0.9635,0.9906,158618325.9
2023-05-27,0.9906,1.0175,0.9824,0.998,109475737.9
2023-05-28,0.998,1.08,0.9917,1.061,198488187.9
2023-05-29,1.0611,1.1,1.0223,1.0391,320765718.1
2023-05-30,1.0392,1.0626,0.9891,1.0004,229215768.4
2023-05-31,1.0004,1.0096,0.9413,0.9739,190118014.7
2023-06-01,0.9739,0.9795,0.938,0.9455,172391183.0
2023-06-02,0.9454,0.9635,0.9031,0.9411,255853747.7
2023-06-03,0.9411,0.9575,0.9056,0.9332,195747099.4
2023-06-04,0.9333,0.9789,0.9265,0.9601,241450431.6
2023-06-05,0.9602,0.9715,0.7379,0.8162,579746205.2
2023-06-06,0.8164,0.85,0.752,0.8312,374955449.0
2023-06-07,0.8312,0.8313,0.7408,0.7569,350846981.8
2023-06-08,0.7569,0.7937,0.7126,0.7283,343163812.9
2023-06-09,0.7283,0.763,0.7088,0.738,372136789.4
2023-06-10,0.7381,0.7418,0.5,0.6089,848687143.7
2023-06-11,0.6089,0.624,0.5859,0.6047,363611303.2
2023-06-12,0.6047,0.689,0.565,0.6627,883833343.4
2023-06-13,0.6629,0.7285,0.6612,0.6976,1048660678.9
2023-06-14,0.6975,0.7128,0.625,0.65,663112207.5
2023-06-15,0.6501,0.6587,0.6201,0.6484,476913108.6
2023-06-16,0.6484,0.7218,0.6205,0.7068,565654206.0
2023-06-17,0.7068,0.7881,0.7037,0.7538,1267913251.0
2023-06-18,0.7538,0.796,0.7105,0.7194,952166247.8
2023-06-19,0.7195,0.793,0.708,0.7846,1185500847.5
2023-06-20,0.7845,0.8276,0.7479,0.8186,1216864373.3
2023-06-21,0.8186,0.8514,0.7655,0.8309,1062453063.5
2023-06-22,0.831,0.8897,0.7872,0.8022,819446732.1
2023-06-23,0.8023,0.8364,0.7739,0.7978,555302086.1
2023-06-24,0.7979,0.798,0.7192,0.7523,399531188.8
2023-06-25,0.7524,0.78,0.733,0.7447,330342892.3
2023-06-26,0.7448,0.76,0.71,0.7258,347579084.0
2023-06-27,0.7259,0.7574,0.7001,0.7197,423507888.7
2023-06-28,0.7198,0.7205,0.6294,0.663,422492047.9
2023-06-29,0.663,0.7149,0.6595,0.6801,452016540.2
2023-06-30,0.6802,0.7114,0.6212,0.6884,494387592.2
2023-07-01,0.6884,0.69,0.6669,0.6887,196077155.5
2023-07-02,0.6887,0.6945,0.6558,0.6907,227971657.0
2023-07-03,0.6908,0.7156,0.6849,0.6997,356068488.7
2023-07-04,0.6997,0.739,0.6766,0.6851,462594891.5
2023-07-05,0.6851,0.6913,0.6428,0.6618,298689113.1
2023-07-06,0.6618,0.682,0.633,0.6484,324527471.0
2023-07-07,0.6484,0.6665,0.6377,0.6608,259367927.7
2023-07-08,0.6609,0.6685,0.6402,0.6523,129208876.2
2023-07-09,0.6523,0.6662,0.649,0.6586,135438905.2
2023-07-10,0.6586,0.6666,0.6259,0.6547,279810471.9
2023-07-11,0.6546,0.6698,0.6419,0.6551,184967513.0
2023-07-12,0.6552,0.6874,0.644,0.6551,280304032.8
2023-07-13,0.6552,0.7166,0.6476,0.6984,352931177.4
2023-07-14,0.6984,0.764,0.6575,0.6799,567509106.6
2023-07-15,0.68,0.698,0.6664,0.6826,178942557.3
2023-07-16,0.6827,0.6941,0.6597,0.6718,207267692.1
2023-07-17,0.6718,0.7313,0.6643,0.7195,476695247.3
2023-07-18,0.7196,0.7844,0.7035,0.7361,1714848661.4
2023-07-19,0.736,0.7759,0.7017,0.7093,660337539.9
2023-07-20,0.7094,0.7278,0.68,0.6882,360300529.4
2023-07-21,0.6882,0.6959,0.6707,0.6832,224310705.9
2023-07-22,0.6831,0.7048,0.6814,0.6931,192344038.3
2023-07-23,0.6931,0.7036,0.6725,0.6786,196243565.4
2023-07-24,0.6787,0.6804,0.6001,0.6363,325969012.8
2023-07-25,0.6362,0.6514,0.625,0.6362,216560188.6
2023-07-26,0.6363,0.6433,0.6143,0.634,231806012.6
2023-07-27,0.634,0.65,0.6233,0.6299,166290484.5
2023-07-28,0.6299,0.6433,0.6243,0.6294,140522295.8
2023-07-29,0.6293,0.6406,0.625,0.6383,104361771.7
2023-07-30,0.6383,0.6396,0.5901,0.6196,160116855.8
2023-07-31,0.6195,0.634,0.6121,0.6317,195083514.4
2023-08-01,0.6318,0.648,0.606,0.6465,306443960.3
2023-08-02,0.6466,0.6497,0.6061,0.6136,191470288.3
2023-08-03,0.6137,0.6194,0.5846,0.5922,299320717.5
2023-08-04,0.5921,0.6009,0.5734,0.5919,187514947.9
2023-08-05,0.5919,0.5934,0.5806,0.5916,102149987.2
2023-08-06,0.5916,0.6094,0.5897,0.592,169750775.9
2023-08-07,0.592,0.5996,0.5553,0.5829,191762565.4
2023-08-08,0.583,0.6031,0.5752,0.5939,175692517.5
2023-08-09,0.5939,0.6266,0.5874,0.5948,213414015.3
2023-08-10,0.5948,0.6056,0.5873,0.605,136467018.2
2023-08-11,0.6049,0.6184,0.5962,0.6047,105907544.7
2023-08-12,0.6048,0.6138,0.602,0.6074,60227601.0
2023-08-13,0.6075,0.6134,0.594,0.598,81363859.5
2023-08-14,0.598,0.6038,0.587,0.5992,88459972.3
2023-08-15,0.5993,0.6026,0.5188,0.5603,155553077.5
2023-08-16,0.5602,0.5783,0.5087,0.5268,295972142.3
2023-08-17,0.5268,0.5354,0.4197,0.4746,363252869.4
2023-08-18,0.4747,0.4894,0.4625,0.4835,204628440.9
2023-08-19,0.4834,0.5649,0.4822,0.5588,695834948.2
2023-08-20,0.5587,0.575,0.5328,0.5433,1109557078.1
2023-08-21,0.5432,0.5482,0.4952,0.5137,536524241.3
2023-08-22,0.5137,0.5585,0.5039,0.5356,938936736.5
2023-08-23,0.5357,0.626,0.5346,0.6015,1597137743.7
2023-08-24,0.6015,0.621,0.5545,0.5725,915326259.3
2023-08-25,0.5725,0.5725,0.5331,0.5566,780684968.8
2023-08-26,0.5565,0.603,0.5466,0.5875,1330914337.3
2023-08-27,0.5876,0.596,0.5721,0.583,686553634.6
2023-08-28,0.583,0.5831,0.5343,0.5469,694069476.9
2023-08-29,0.5468,0.5514,0.5046,0.5447,919878053.2
2023-08-30,0.5447,0.5461,0.5142,0.525,384491713.0
2023-08-31,0.5249,0.5249,0.48,0.5,421619643.9
2023-09-01,0.5,0.5159,0.4802,0.4886,377809201.2
2023-09-02,0.4885,0.5035,0.4817,0.4905,205119432.1
2023-09-03,0.4905,0.5023,0.4718,0.4837,289608941.9
2023-09-04,0.4838,0.4961,0.47,0.4831,327474068.7
2023-09-05,0.4831,0.493,0.4661,0.4905,270541281.6
2023-09-06,0.4905,0.4997,0.4733,0.4815,300848804.6
2023-09-07,0.4815,0.4873,0.4751,0.4855,192048847.2
2023-09-08,0.4856,0.4935,0.4724,0.4812,182198286.0
2023-09-09,0.4812,0.4857,0.4771,0.4811,107585444.7
2023-09-10,0.4811,0.4814,0.443,0.4546,234062221.2
2023-09-11,0.4547,0.4556,0.4172,0.4262,376663643.1
2023-09-12,0.4262,0.458,0.4226,0.4273,366046019.6
2023-09-13,0.4273,0.4443,0.4183,0.4423,270664437.9
2023-09-14,0.4423,0.4515,0.4355,0.4447,194004606.9
2023-09-15,0.4447,0.4486,0.4312,0.446,217470338.2
2023-09-16,0.446,0.4667,0.4454,0.4662,254891938.2
2023-09-17,0.4662,0.4663,0.4223,0.4343,236904179.5
2023-09-18,0.4343,0.4531,0.4252,0.4475,233972809.0
2023-09-19,0.4474,0.4568,0.4461,0.4539,161887879.0
2023-09-20,0.4539,0.455,0.4345,0.4463,165804878.7
2023-09-21,0.4463,0.4579,0.4327,0.4398,175521367.3
2023-09-22,0.4398,0.4456,0.4329,0.4446,134098904.6
2023-09-23,0.4446,0.451,0.4394,0.4458,124703541.4
2023-09-24,0.4457,0.4644,0.4347,0.4387,314401069.5
2023-09-25,0.4387,0.4492,0.4316,0.4426,199746064.1
2023-09-26,0.4427,0.4451,0.4332,0.4383,148823791.9
2023-09-27,0.4383,0.4439,0.427,0.4371,191560994.2
2023-09-28,0.437,0.4497,0.4343,0.4472,181580659.3
2023-09-29,0.4471,0.497,0.4438,0.4787,758268726.8
2023-09-30,0.4787,0.4859,0.461,0.4698,303204747.9
2023-10-01,0.4699,0.5098,0.464,0.5068,378655048.7
2023-10-02,0.5068,0.5076,0.456,0.4659,323155126.2
2023-10-03,0.466,0.4684,0.4408,0.4442,304612352.4
2023-10-04,0.4443,0.4472,0.424,0.4415,304509171.5
2023-10-05,0.4415,0.4489,0.4324,0.4341,279302131.1
2023-10-06,0.4342,0.448,0.4325,0.4432,176649396.9
2023-10-07,0.4432,0.459,0.4376,0.4424,220101540.1
2023-10-08,0.4425,0.4441,0.4339,0.4375,105401740.5
2023-10-09,0.4375,0.4386,0.3971,0.4157,244571562.7
2023-10-10,0.4158,0.4187,0.4108,0.4158,121618368.0
2023-10-11,0.4158,0.417,0.4003,0.4096,156454420.4
2023-10-12,0.4096,0.4128,0.3995,0.4071,128698769.1
2023-10-13,0.4071,0.424,0.4052,0.4133,189794409.1
2023-10-14,0.4133,0.4191,0.4109,0.4155,83830093.3
2023-10-15,0.4155,0.4159,0.4046,0.4104,144682683.5
2023-10-16,0.4104,0.4297,0.4028,0.4101,295253593.1
2023-10-17,0.4102,0.4116,0.3681,0.3804,421712474.8
2023-10-18,0.3803,0.3899,0.3635,0.3821,329737295.0
2023-10-19,0.3821,0.3826,0.3615,0.3699,278329259.0
2023-10-20,0.37,0.3882,0.364,0.3824,284374752.2
2023-10-21,0.3824,0.3999,0.3792,0.3905,230741199.3
2023-10-22,0.3905,0.4193,0.3871,0.4041,322045330.3
2023-10-23,0.4042,0.4217,0.3921,0.421,346003181.7
2023-10-24,0.4209,0.4596,0.4142,0.4344,587890865.6
2023-10-25,0.4344,0.4511,0.4191,0.4373,355749686.9
2023-10-26,0.4374,0.4639,0.4148,0.4402,375610281.9
2023-10-27,0.4402,0.457,0.42,0.4312,348615384.0
2023-10-28,0.4312,0.4789,0.4309,0.4674,382167655.6
2023-10-29,0.4674,0.4698,0.4507,0.453,236281007.8
2023-10-30,0.4531,0.4748,0.4419,0.4634,307109833.7
2023-10-31,0.4634,0.477,0.42,0.4432,346112099.0
2023-11-01,0.4432,0.4736,0.425,0.4657,374547259.4
2023-11-02,0.4657,0.4821,0.4409,0.4591,354965160.6
2023-11-03,0.459,0.4592,0.4314,0.4559,176786534.6
2023-11-04,0.4559,0.52,0.4512,0.5067,380405605.6
2023-11-05,0.5068,0.5249,0.481,0.5003,415486597.9
2023-11-06,0.5004,0.54,0.4866,0.5289,310158505.0
2023-11-07,0.5289,0.529,0.4916,0.5238,305581098.5
2023-11-08,0.5238,0.6013,0.5174,0.5788,540725859.0
2023-11-09,0.5788,0.6082,0.47,0.5613,580244246.4
2023-11-10,0.5612,0.6271,0.5343,0.6103,384315897.1
2023-11-11,0.6103,0.6149,0.5674,0.5927,314666325.2
2023-11-12,0.5927,0.6461,0.5572,0.6185,336877919.9
2023-11-13,0.6185,0.6591,0.6004,0.6015,420737576.6
